Index,Klasifikasi
228906,Kesehatan
31095,Lainnya
261919,Pendidikan
156973,Lainnya
265973,Lainnya
283062,Lainnya
120046,Kesehatan
137781,Pendidikan
76191,Kesehatan
91961,Kesehatan
23883,Pendidikan
310638,Kesehatan
252,Kesehatan
208924,Lainnya
87398,Lainnya
208373,Kesehatan
61719,Lainnya
50890,Pendidikan
175853,Pendidikan
2672,Pendidikan
286443,Pendidikan
22319,Pendidikan
96139,Lainnya
186568,Lainnya
178163,Kesehatan
63119,Lainnya
218090,Kesehatan
112019,Pendidikan
144691,Kesehatan
248347,Lainnya
294853,Pendidikan
74445,Kesehatan
29712,Pendidikan
221775,Pendidikan
104129,Pendidikan
122922,Lainnya
316830,Kesehatan
259381,Lainnya
72187,Kesehatan
229891,Kesehatan
165593,Lainnya
175533,Pendidikan
274025,Lainnya
43304,Pendidikan
248324,Pendidikan
191617,Lainnya
165049,Lainnya
234753,Lainnya
300508,Lainnya
217169,Lainnya
50475,Lainnya
211593,Pendidikan
117739,Lainnya
79578,Kesehatan
208317,Lainnya
64423,Pendidikan
265692,Pendidikan
261086,Lainnya
43818,Kesehatan
321413,Lainnya
2271,Pendidikan
95790,Lainnya
37962,Lainnya
182061,Lainnya
6757,Lainnya
52154,Kesehatan
322896,Kesehatan
67355,Kesehatan
106881,Pendidikan
182996,Lainnya
159620,Kesehatan
315747,Pendidikan
104667,Kesehatan
83162,Kesehatan
294900,Kesehatan
251237,Kesehatan
322539,Lainnya
268108,Pendidikan
26317,Lainnya
314324,Pendidikan
25148,Lainnya
59302,Lainnya
78602,Kesehatan
246448,Kesehatan
55012,Pendidikan
114185,Lainnya
291444,Lainnya
38308,Lainnya
142219,Pendidikan
251366,Kesehatan
236853,Kesehatan
121642,Kesehatan
282428,Kesehatan
292232,Kesehatan
11683,Pendidikan
93507,Lainnya
62498,Pendidikan
57087,Kesehatan
186954,Pendidikan
65314,Pendidikan
100434,Kesehatan
228686,Kesehatan
187029,Pendidikan
83959,Lainnya
104256,Pendidikan
167960,Pendidikan
231532,Kesehatan
290598,Lainnya
289004,Kesehatan
99335,Kesehatan
66452,Kesehatan
101851,Pendidikan
98399,Pendidikan
137886,Pendidikan
152972,Lainnya
261494,Kesehatan
133351,Kesehatan
8779,Lainnya
200997,Kesehatan
135843,Pendidikan
222465,Pendidikan
125547,Pendidikan
259920,Kesehatan
166014,Pendidikan
128365,Lainnya
173619,Kesehatan
299778,Pendidikan
189524,Lainnya
246010,Pendidikan
315559,Pendidikan
144544,Lainnya
31050,Kesehatan
25806,Pendidikan
317012,Lainnya
72648,Kesehatan
268097,Kesehatan
277702,Lainnya
45043,Kesehatan
156027,Lainnya
34295,Kesehatan
157289,Lainnya
104169,Pendidikan
11405,Lainnya
179381,Pendidikan
38218,Kesehatan
311708,Pendidikan
258256,Lainnya
125992,Lainnya
235990,Pendidikan
73824,Pendidikan
287315,Pendidikan
13068,Lainnya
237052,Kesehatan
231395,Pendidikan
70195,Lainnya
241406,Kesehatan
167599,Pendidikan
98187,Lainnya
180977,Pendidikan
290457,Pendidikan
239848,Kesehatan
310667,Kesehatan
128648,Lainnya
186110,Kesehatan
280546,Lainnya
180825,Lainnya
299296,Pendidikan
23026,Pendidikan
132398,Kesehatan
134868,Lainnya
22669,Pendidikan
212810,Kesehatan
311113,Lainnya
111615,Lainnya
23284,Kesehatan
205511,Pendidikan
174015,Kesehatan
268140,Pendidikan
217971,Kesehatan
267071,Kesehatan
305704,Pendidikan
226399,Lainnya
232877,Lainnya
53771,Pendidikan
137054,Lainnya
142267,Pendidikan
49338,Lainnya
41428,Kesehatan
199032,Kesehatan
155266,Lainnya
31819,Kesehatan
98988,Lainnya
218144,Kesehatan
267510,Kesehatan
86780,Pendidikan
252276,Pendidikan
933,Kesehatan
134162,Kesehatan
221370,Pendidikan
48133,Kesehatan
267853,Lainnya
193822,Lainnya
119344,Lainnya
60779,Lainnya
37801,Kesehatan
61786,Lainnya
282417,Lainnya
36448,Lainnya
125356,Lainnya
195245,Lainnya
264786,Kesehatan
269364,Lainnya
41955,Lainnya
230209,Kesehatan
290823,Kesehatan
275080,Lainnya
238150,Kesehatan
258409,Pendidikan
22723,Kesehatan
318736,Kesehatan
286768,Kesehatan
196857,Pendidikan
209895,Pendidikan
47082,Kesehatan
166620,Kesehatan
286297,Pendidikan
171327,Pendidikan
87397,Kesehatan
121971,Pendidikan
85700,Lainnya
23697,Pendidikan
19921,Kesehatan
230901,Pendidikan
217247,Kesehatan
50542,Kesehatan
102013,Lainnya
203165,Pendidikan
11265,Pendidikan
301172,Kesehatan
97522,Kesehatan
285454,Lainnya
37179,Lainnya
117006,Kesehatan
225961,Pendidikan
248083,Pendidikan
115445,Kesehatan
226954,Kesehatan
88208,Lainnya
232964,Kesehatan
43591,Kesehatan
263816,Lainnya
200822,Lainnya
315064,Pendidikan
310837,Lainnya
218207,Kesehatan
150946,Lainnya
226056,Kesehatan
50593,Lainnya
259010,Kesehatan
293443,Pendidikan
121092,Kesehatan
185159,Kesehatan
127488,Pendidikan
266878,Pendidikan
140181,Kesehatan
208180,Lainnya
42937,Kesehatan
75160,Lainnya
83633,Lainnya
217700,Kesehatan
73708,Pendidikan
175635,Pendidikan
34283,Lainnya
31922,Lainnya
274789,Kesehatan
73597,Pendidikan
127291,Lainnya
190709,Kesehatan
243281,Kesehatan
226648,Lainnya
12277,Lainnya
159120,Lainnya
220016,Kesehatan
168988,Lainnya
63215,Kesehatan
100702,Lainnya
42675,Lainnya
65911,Kesehatan
271985,Lainnya
277263,Lainnya
314360,Lainnya
25313,Lainnya
198346,Lainnya
300702,Kesehatan
266210,Kesehatan
182503,Lainnya
224746,Pendidikan
28628,Lainnya
143369,Pendidikan
169715,Pendidikan
235735,Kesehatan
262428,Kesehatan
263932,Lainnya
38642,Lainnya
277995,Lainnya
316115,Lainnya
309750,Pendidikan
123258,Kesehatan
167468,Lainnya
163430,Lainnya
258345,Kesehatan
163617,Kesehatan
120708,Pendidikan
83977,Lainnya
295126,Pendidikan
280287,Pendidikan
189099,Kesehatan
187255,Lainnya
220137,Lainnya
295792,Kesehatan
315275,Kesehatan
34,Kesehatan
315359,Kesehatan
47706,Lainnya
95277,Kesehatan
83239,Pendidikan
262227,Pendidikan
307792,Lainnya
172257,Kesehatan
106136,Lainnya
147345,Pendidikan
13672,Lainnya
311153,Pendidikan
264113,Lainnya
276084,Pendidikan
149966,Lainnya
9375,Pendidikan
324212,Kesehatan
180795,Kesehatan
198833,Pendidikan
2580,Kesehatan
276816,Pendidikan
107041,Lainnya
276464,Pendidikan
109491,Lainnya
123850,Kesehatan
86925,Lainnya
259321,Kesehatan
210671,Lainnya
128658,Kesehatan
224151,Pendidikan
113961,Lainnya
114261,Kesehatan
18492,Pendidikan
211834,Pendidikan
67963,Pendidikan
48210,Kesehatan
314412,Lainnya
113208,Kesehatan
24147,Lainnya
134884,Kesehatan
59712,Kesehatan
77265,Lainnya
77672,Lainnya
234932,Kesehatan
102555,Pendidikan
77390,Lainnya
15038,Kesehatan
106579,Lainnya
219809,Lainnya
167843,Pendidikan
148102,Lainnya
279535,Pendidikan
16049,Pendidikan
243228,Kesehatan
261804,Kesehatan
191830,Pendidikan
41697,Pendidikan
108507,Lainnya
100293,Lainnya
158429,Pendidikan
45438,Kesehatan
148749,Kesehatan
308005,Pendidikan
78571,Pendidikan
25862,Kesehatan
179762,Lainnya
292629,Pendidikan
283771,Kesehatan
170420,Kesehatan
64743,Pendidikan
213107,Pendidikan
113332,Lainnya
43575,Kesehatan
121102,Lainnya
137481,Pendidikan
92354,Kesehatan
138222,Pendidikan
188312,Kesehatan
124570,Lainnya
184443,Pendidikan
173048,Lainnya
224885,Kesehatan
295762,Kesehatan
191098,Kesehatan
243981,Kesehatan
118329,Pendidikan
119985,Pendidikan
227819,Lainnya
185049,Kesehatan
126807,Pendidikan
209184,Pendidikan
157827,Lainnya
222424,Kesehatan
139580,Kesehatan
62868,Lainnya
78466,Kesehatan
135251,Kesehatan
50947,Lainnya
241266,Lainnya
10087,Kesehatan
52974,Kesehatan
264115,Kesehatan
305181,Lainnya
66685,Lainnya
161249,Lainnya
13497,Kesehatan
72442,Pendidikan
251568,Kesehatan
755,Lainnya
214956,Kesehatan
315931,Lainnya
299644,Lainnya
102582,Lainnya
195839,Kesehatan
41442,Pendidikan
115261,Lainnya
303977,Pendidikan
35370,Lainnya
96091,Lainnya
286255,Lainnya
16969,Lainnya
206573,Kesehatan
251615,Pendidikan
198696,Kesehatan
99397,Pendidikan
294295,Lainnya
256592,Pendidikan
195372,Pendidikan
86960,Kesehatan
137358,Kesehatan
201232,Kesehatan
56485,Pendidikan
216191,Lainnya
57235,Pendidikan
299719,Kesehatan
138907,Kesehatan
265474,Kesehatan
273297,Pendidikan
62817,Pendidikan
270914,Kesehatan
116393,Kesehatan
268646,Kesehatan
232358,Pendidikan
172894,Lainnya
203398,Pendidikan
158780,Pendidikan
245343,Lainnya
184619,Kesehatan
24708,Lainnya
136552,Kesehatan
290687,Pendidikan
212632,Lainnya
170525,Kesehatan
173235,Lainnya
314184,Kesehatan
224435,Lainnya
311441,Lainnya
102278,Pendidikan
320402,Kesehatan
312517,Lainnya
280391,Pendidikan
244635,Kesehatan
159117,Pendidikan
102020,Lainnya
290747,Pendidikan
99848,Kesehatan
171964,Pendidikan
211722,Kesehatan
266095,Kesehatan
270983,Lainnya
121316,Lainnya
19769,Kesehatan
270570,Pendidikan
150130,Kesehatan
79209,Kesehatan
37003,Lainnya
278312,Pendidikan
183713,Pendidikan
179265,Lainnya
251355,Lainnya
118147,Lainnya
321968,Lainnya
287887,Kesehatan
210848,Kesehatan
271868,Kesehatan
242367,Lainnya
20734,Lainnya
116533,Lainnya
222891,Lainnya
129768,Pendidikan
273052,Pendidikan
184285,Kesehatan
189368,Lainnya
158255,Lainnya
312047,Lainnya
290703,Kesehatan
116348,Lainnya
243554,Lainnya
207191,Kesehatan
80771,Pendidikan
144647,Pendidikan
292381,Lainnya
251132,Kesehatan
14982,Kesehatan
276931,Lainnya
100295,Kesehatan
32709,Pendidikan
98818,Kesehatan
238892,Lainnya
272434,Lainnya
53520,Kesehatan
231294,Lainnya
116606,Pendidikan
36926,Lainnya
36822,Pendidikan
40560,Kesehatan
40022,Kesehatan
314048,Lainnya
110320,Kesehatan
287332,Lainnya
274040,Pendidikan
202108,Pendidikan
213343,Pendidikan
312848,Lainnya
266255,Lainnya
162005,Lainnya
183996,Lainnya
289388,Lainnya
49381,Kesehatan
100352,Kesehatan
313572,Kesehatan
24347,Lainnya
119233,Kesehatan
33444,Pendidikan
52070,Pendidikan
65497,Kesehatan
149023,Pendidikan
289142,Lainnya
110931,Lainnya
18490,Pendidikan
249667,Kesehatan
259869,Kesehatan
76221,Kesehatan
38090,Pendidikan
295149,Kesehatan
225506,Pendidikan
173599,Lainnya
192753,Kesehatan
97100,Kesehatan
271909,Lainnya
103648,Pendidikan
73547,Kesehatan
114382,Kesehatan
41491,Pendidikan
72184,Lainnya
273557,Pendidikan
130451,Pendidikan
9217,Kesehatan
76074,Pendidikan
167477,Kesehatan
30281,Lainnya
166589,Lainnya
181553,Kesehatan
220875,Pendidikan
13389,Lainnya
3039,Pendidikan
104978,Pendidikan
237142,Kesehatan
113708,Lainnya
167904,Kesehatan
180325,Pendidikan
290184,Pendidikan
140955,Pendidikan
173080,Pendidikan
258237,Lainnya
158330,Kesehatan
323194,Pendidikan
32222,Kesehatan
114848,Kesehatan
123714,Pendidikan
265486,Lainnya
103965,Kesehatan
242070,Lainnya
120815,Lainnya
78012,Kesehatan
157260,Kesehatan
71255,Kesehatan
149626,Pendidikan
127602,Pendidikan
210893,Kesehatan
315800,Lainnya
79297,Lainnya
50753,Kesehatan
243518,Lainnya
164132,Lainnya
90157,Pendidikan
274509,Lainnya
109754,Lainnya
312393,Pendidikan
16899,Lainnya
108973,Lainnya
127157,Kesehatan
238350,Kesehatan
301311,Lainnya
296084,Kesehatan
276542,Kesehatan
95398,Lainnya
72101,Lainnya
168944,Kesehatan
294056,Lainnya
155276,Kesehatan
3211,Pendidikan
243190,Kesehatan
35290,Pendidikan
236481,Pendidikan
153296,Lainnya
3708,Pendidikan
54250,Lainnya
90019,Lainnya
242602,Pendidikan
111737,Pendidikan
107509,Kesehatan
217962,Pendidikan
306701,Kesehatan
30145,Pendidikan
266171,Lainnya
74457,Lainnya
297341,Kesehatan
99098,Pendidikan
323710,Kesehatan
21060,Pendidikan
16591,Kesehatan
41836,Lainnya
278553,Pendidikan
138052,Kesehatan
235908,Lainnya
268886,Kesehatan
82262,Lainnya
125153,Lainnya
286410,Pendidikan
79897,Pendidikan
316880,Lainnya
41130,Lainnya
283904,Kesehatan
164706,Kesehatan
68971,Lainnya
199798,Kesehatan
35120,Lainnya
110014,Lainnya
49019,Lainnya
190353,Kesehatan
78177,Lainnya
191968,Pendidikan
229716,Lainnya
305877,Lainnya
260830,Kesehatan
210728,Lainnya
166435,Kesehatan
121918,Kesehatan
277341,Lainnya
117518,Pendidikan
288660,Lainnya
32628,Kesehatan
126603,Kesehatan
182045,Kesehatan
300578,Lainnya
283296,Kesehatan
152123,Lainnya
160369,Lainnya
181204,Pendidikan
294265,Lainnya
84527,Lainnya
109685,Lainnya
246527,Lainnya
2374,Kesehatan
75383,Lainnya
150781,Kesehatan
122091,Kesehatan
292262,Lainnya
207402,Lainnya
231869,Kesehatan
131474,Pendidikan
120097,Pendidikan
313553,Pendidikan
307299,Lainnya
214463,Kesehatan
23481,Lainnya
89853,Kesehatan
63328,Kesehatan
2445,Lainnya
73703,Lainnya
90069,Lainnya
112936,Pendidikan
180348,Lainnya
320921,Lainnya
264141,Lainnya
75784,Lainnya
308461,Pendidikan
275669,Lainnya
132537,Lainnya
41604,Kesehatan
31615,Kesehatan
73982,Pendidikan
266792,Pendidikan
308817,Pendidikan
228126,Pendidikan
13182,Kesehatan
123922,Pendidikan
146346,Lainnya
127174,Lainnya
47206,Pendidikan
192561,Lainnya
155345,Lainnya
284398,Lainnya
287644,Pendidikan
310502,Pendidikan
1471,Lainnya
324728,Lainnya
18605,Pendidikan
221648,Kesehatan
28990,Lainnya
100187,Lainnya
218312,Kesehatan
100812,Kesehatan
198877,Pendidikan
15694,Lainnya
230348,Pendidikan
321311,Kesehatan
318192,Pendidikan
7289,Kesehatan
313062,Kesehatan
12788,Lainnya
168639,Kesehatan
7537,Pendidikan
177996,Kesehatan
279206,Lainnya
296632,Pendidikan
83890,Pendidikan
200866,Pendidikan
78292,Pendidikan
104610,Pendidikan
42303,Lainnya
296246,Pendidikan
271662,Kesehatan
54996,Kesehatan
83254,Kesehatan
21301,Pendidikan
11842,Pendidikan
245448,Lainnya
266435,Kesehatan
241942,Lainnya
227510,Pendidikan
198763,Pendidikan
25791,Kesehatan
260593,Kesehatan
1861,Kesehatan
289330,Lainnya
458,Lainnya
77926,Pendidikan
273738,Kesehatan
165920,Lainnya
266174,Lainnya
245888,Pendidikan
51599,Lainnya
35653,Pendidikan
29420,Pendidikan
115299,Lainnya
154776,Pendidikan
215990,Kesehatan
323475,Pendidikan
86456,Lainnya
313306,Kesehatan
199391,Pendidikan
196833,Pendidikan
160497,Lainnya
40765,Kesehatan
14634,Pendidikan
140335,Lainnya
298417,Pendidikan
68993,Pendidikan
7419,Lainnya
258191,Kesehatan
107345,Pendidikan
191660,Kesehatan
79316,Pendidikan
10548,Pendidikan
39419,Pendidikan
285776,Pendidikan
49433,Kesehatan
264502,Lainnya
92898,Lainnya
51167,Kesehatan
56533,Lainnya
313545,Lainnya
246315,Lainnya
16196,Pendidikan
197536,Pendidikan
161349,Lainnya
322530,Pendidikan
20982,Lainnya
116269,Pendidikan
123499,Kesehatan
31180,Kesehatan
218636,Kesehatan
233996,Kesehatan
53425,Kesehatan
9765,Kesehatan
175106,Pendidikan
318122,Kesehatan
74046,Lainnya
299059,Lainnya
209678,Kesehatan
71319,Lainnya
130083,Lainnya
227305,Kesehatan
85352,Lainnya
170595,Pendidikan
148950,Kesehatan
193497,Lainnya
223955,Kesehatan
244144,Pendidikan
168687,Kesehatan
306050,Lainnya
306753,Lainnya
283907,Pendidikan
254062,Pendidikan
148768,Kesehatan
302473,Lainnya
106789,Kesehatan
248254,Pendidikan
178089,Pendidikan
45646,Lainnya
268298,Kesehatan
100629,Lainnya
128836,Kesehatan
282748,Kesehatan
154507,Kesehatan
219697,Pendidikan
239163,Kesehatan
31627,Kesehatan
73519,Pendidikan
56950,Kesehatan
157998,Kesehatan
17261,Kesehatan
239978,Kesehatan
320317,Kesehatan
262162,Pendidikan
239810,Pendidikan
15585,Kesehatan
315435,Pendidikan
10569,Lainnya
238344,Pendidikan
275304,Kesehatan
183554,Kesehatan
191297,Lainnya
101254,Pendidikan
317980,Lainnya
157539,Kesehatan
37896,Kesehatan
27864,Pendidikan
142960,Kesehatan
235328,Kesehatan
169110,Lainnya
172806,Lainnya
12321,Pendidikan
24234,Kesehatan
294439,Kesehatan
63512,Lainnya
176968,Pendidikan
160068,Pendidikan
304247,Kesehatan
13784,Lainnya
217533,Pendidikan
265287,Kesehatan
31857,Kesehatan
30362,Kesehatan
318313,Pendidikan
318597,Kesehatan
213190,Kesehatan
125294,Pendidikan
45187,Pendidikan
103536,Pendidikan
242314,Pendidikan
142117,Lainnya
89996,Lainnya
100672,Lainnya
6197,Pendidikan
49245,Kesehatan
104301,Pendidikan
295381,Pendidikan
269675,Lainnya
230256,Kesehatan
261915,Lainnya
264180,Pendidikan
39284,Pendidikan
318537,Kesehatan
213624,Kesehatan
183995,Kesehatan
89439,Lainnya
71774,Lainnya
318743,Pendidikan
140022,Pendidikan
11858,Kesehatan
257538,Kesehatan
57398,Kesehatan
285196,Pendidikan
27774,Pendidikan
253490,Lainnya
111390,Kesehatan
314508,Lainnya
266728,Kesehatan
142488,Lainnya
45682,Pendidikan
89410,Lainnya
5229,Kesehatan
66127,Lainnya
272478,Kesehatan
235236,Lainnya
97773,Kesehatan
264449,Kesehatan
129528,Pendidikan
265837,Kesehatan
219887,Kesehatan
167727,Kesehatan
171924,Lainnya
271562,Pendidikan
205402,Lainnya
302830,Lainnya
277901,Lainnya
13613,Kesehatan
186939,Kesehatan
191507,Pendidikan
44810,Pendidikan
77818,Pendidikan
139327,Lainnya
284853,Lainnya
121659,Pendidikan
189307,Lainnya
284001,Lainnya
259135,Lainnya
78761,Kesehatan
224719,Lainnya
151502,Lainnya
38142,Lainnya
99227,Lainnya
322692,Kesehatan
141088,Kesehatan
153603,Pendidikan
317330,Kesehatan
86932,Lainnya
151409,Kesehatan
39964,Kesehatan
34376,Kesehatan
300721,Lainnya
206911,Lainnya
260298,Pendidikan
111893,Pendidikan
294897,Lainnya
167555,Lainnya
200553,Pendidikan
318894,Lainnya
286273,Lainnya
312987,Pendidikan
204667,Lainnya
299970,Pendidikan
289088,Pendidikan
280118,Pendidikan
14887,Pendidikan
285116,Pendidikan
306133,Kesehatan
227189,Pendidikan
27022,Kesehatan
302836,Kesehatan
184461,Lainnya
187177,Kesehatan
133158,Pendidikan
44244,Kesehatan
21789,Lainnya
229833,Lainnya
170590,Kesehatan
51234,Lainnya
187122,Kesehatan
129369,Kesehatan
305682,Kesehatan
93541,Pendidikan
31172,Kesehatan
132676,Pendidikan
209409,Lainnya
7457,Lainnya
301025,Lainnya
123565,Lainnya
278650,Lainnya
17448,Pendidikan
129211,Pendidikan
288676,Kesehatan
63287,Lainnya
34205,Pendidikan
181924,Kesehatan
295215,Lainnya
100505,Kesehatan
163829,Kesehatan
84888,Kesehatan
41832,Pendidikan
111835,Lainnya
75101,Lainnya
47006,Lainnya
203418,Lainnya
44039,Kesehatan
182772,Pendidikan
8535,Lainnya
186036,Lainnya
211590,Pendidikan
14307,Lainnya
161747,Kesehatan
21264,Pendidikan
131809,Lainnya
25105,Kesehatan
290802,Kesehatan
253447,Kesehatan
164920,Lainnya
305679,Kesehatan
62509,Kesehatan
232647,Kesehatan
4653,Pendidikan
125766,Lainnya
127052,Kesehatan
193750,Kesehatan
35579,Lainnya
310169,Kesehatan
108284,Lainnya
254448,Pendidikan
203983,Pendidikan
178846,Pendidikan
28797,Kesehatan
54203,Lainnya
297654,Lainnya
116020,Lainnya
45991,Kesehatan
43030,Kesehatan
39628,Lainnya
310404,Kesehatan
272907,Pendidikan
110352,Kesehatan
275086,Lainnya
74124,Lainnya
232625,Pendidikan
180081,Pendidikan
214228,Kesehatan
218042,Lainnya
246703,Kesehatan
47347,Kesehatan
289944,Kesehatan
11148,Lainnya
271587,Kesehatan
93876,Kesehatan
153440,Kesehatan
86220,Lainnya
210974,Lainnya
27059,Pendidikan
13372,Kesehatan
57792,Kesehatan
31646,Lainnya
247321,Lainnya
114398,Lainnya
247327,Pendidikan
197272,Kesehatan
207138,Pendidikan
223201,Lainnya
36012,Pendidikan
222922,Lainnya
314827,Pendidikan
34344,Pendidikan
311172,Lainnya
129064,Lainnya
310687,Pendidikan
73954,Pendidikan
222723,Lainnya
241325,Kesehatan
126092,Lainnya
171569,Lainnya
19188,Lainnya
109017,Lainnya
102754,Pendidikan
212986,Pendidikan
78163,Kesehatan
244986,Kesehatan
74999,Pendidikan
63513,Kesehatan
36847,Kesehatan
76435,Pendidikan
62434,Kesehatan
250106,Kesehatan
268924,Lainnya
105416,Kesehatan
95249,Pendidikan
212686,Lainnya
61321,Kesehatan
146465,Pendidikan
62807,Lainnya
53636,Pendidikan
208444,Lainnya
320664,Lainnya
192101,Pendidikan
145207,Lainnya
307454,Pendidikan
286813,Pendidikan
151369,Pendidikan
187526,Kesehatan
69984,Kesehatan
311815,Pendidikan
314698,Pendidikan
99622,Pendidikan
143285,Lainnya
132950,Kesehatan
94595,Kesehatan
172182,Lainnya
321712,Kesehatan
136887,Lainnya
297472,Pendidikan
34812,Pendidikan
123184,Lainnya
9717,Pendidikan
68241,Kesehatan
152612,Pendidikan
143076,Lainnya
54194,Lainnya
312538,Kesehatan
8096,Pendidikan
245695,Lainnya
315930,Kesehatan
77724,Pendidikan
245643,Pendidikan
52787,Lainnya
189195,Lainnya
226417,Pendidikan
246441,Kesehatan
135795,Kesehatan
230815,Pendidikan
46029,Lainnya
112301,Lainnya
241676,Lainnya
135960,Kesehatan
210440,Lainnya
77855,Lainnya
81511,Lainnya
66005,Pendidikan
44214,Kesehatan
274958,Kesehatan
198135,Pendidikan
47317,Kesehatan
21148,Pendidikan
266285,Kesehatan
301808,Lainnya
221201,Kesehatan
126912,Lainnya
276947,Lainnya
236129,Lainnya
273525,Lainnya
25261,Pendidikan
260440,Lainnya
111514,Pendidikan
300346,Kesehatan
90852,Kesehatan
201552,Lainnya
303633,Kesehatan
143748,Lainnya
31640,Pendidikan
5862,Lainnya
281243,Lainnya
318756,Lainnya
221704,Kesehatan
122001,Kesehatan
183578,Pendidikan
213630,Pendidikan
83691,Pendidikan
247359,Kesehatan
90503,Pendidikan
24445,Pendidikan
151313,Kesehatan
124729,Lainnya
308019,Pendidikan
247375,Pendidikan
306035,Pendidikan
48177,Lainnya
295583,Lainnya
6238,Lainnya
70743,Pendidikan
324895,Kesehatan
193025,Pendidikan
12483,Lainnya
263533,Kesehatan
117779,Pendidikan
85656,Lainnya
293509,Pendidikan
96157,Kesehatan
134393,Kesehatan
239045,Lainnya
251948,Kesehatan
270965,Pendidikan
40635,Pendidikan
158866,Lainnya
47401,Kesehatan
67761,Lainnya
177422,Pendidikan
167263,Pendidikan
271134,Pendidikan
242103,Kesehatan
51373,Kesehatan
188163,Lainnya
253719,Lainnya
217246,Kesehatan
193103,Kesehatan
228154,Pendidikan
228316,Pendidikan
11620,Pendidikan
289798,Pendidikan
237303,Pendidikan
135323,Lainnya
322669,Kesehatan
115377,Lainnya
214362,Kesehatan
138617,Pendidikan
145978,Pendidikan
247754,Lainnya
246619,Lainnya
220934,Lainnya
148424,Lainnya
143393,Kesehatan
199298,Kesehatan
97159,Lainnya
89713,Lainnya
25204,Lainnya
265999,Pendidikan
203469,Kesehatan
323040,Pendidikan
245210,Lainnya
224217,Lainnya
23565,Lainnya
307306,Lainnya
247552,Pendidikan
165414,Lainnya
88317,Pendidikan
186068,Kesehatan
199021,Lainnya
16835,Pendidikan
274316,Lainnya
244361,Lainnya
17314,Pendidikan
53912,Pendidikan
27367,Lainnya
69902,Pendidikan
233723,Pendidikan
29871,Kesehatan
277370,Lainnya
141012,Kesehatan
20516,Kesehatan
116388,Pendidikan
